Marque (Brand),Modèle (Model),Version / Finition,Énergie (Fuel Type),Puissance Fiscale,Prix (Price TND)
Kia,Picanto,Populaire 1.0 L,Essence,4 CV,32287
Kia,Picanto,LX 1.0 L,Essence,4 CV,43980
Kia,Picanto,GT-Line 1.25 L BVA,Essence,5 CV,61500
Kia,Rio Berline,LX 1.4 L,Essence,5 CV,69480
Kia,Rio 5 Portes,SX 1.4 L,Essence,5 CV,74500
Kia,Seltos,Tech Line 1.4 L T-GDI BVA,Essence,8 CV,109800
Kia,Sportage,Active 1.6 L T-GDI,Essence,9 CV,143980
Kia,EV6,Standard Range GT-Line,Electrique,5 CV,179980
Hyundai,Grand i10,Populaire 1.0 L,Essence,4 CV,33243
Hyundai,Grand i10 Sedan,High Grade BVA,Essence,5 CV,57500
Hyundai,i20,GLS 1.2 L,Essence,5 CV,65500
Hyundai,Creta,Business 1.5 L,Essence,7 CV,98900
Hyundai,Tucson,Business 1.6 L T-GDI,Essence,9 CV,135900
Hyundai,Santa Fe,2.2 L CRDI 4x4 BVA,Diesel,11 CV,215000
Hyundai,Palisade,2.2 L CRDI 4x4,Diesel,11 CV,265000
Suzuki,Celerio,Populaire 1.0 L GL,Essence,4 CV,28935
Suzuki,S-Presso,GL 1.0 L,Essence,4 CV,34900
Suzuki,Dzire,GL 1.2 L,Essence,5 CV,49500
Suzuki,Swift,GLX 1.2 L BVM,Essence,5 CV,59000
Suzuki,Ertiga,GLX 1.5 L 7 Places,Essence,6 CV,73500
Suzuki,Jimny,GLX 1.5 L 4x4 Auto,Essence,6 CV,98000
Toyota,Agya,Populaire 1.0 L,Essence,4 CV,29500
Toyota,Yaris Hatchback,Active 1.5 L,Essence,5 CV,72000
Toyota,Corolla Sedan,Active 1.6 L,Essence,7 CV,89000
Toyota,C-HR,Dynamic BVA,Essence,7 CV,119000
Toyota,RAV4,Hybrid 2.5 L Active,Hybride,9 CV,159000
Toyota,bZ4X,Electric 100%,Electrique,5 CV,165000
Toyota,Prado,TX-L 3.0 L Diesel 4x4,Diesel,12 CV,310000
